Date,Job_title,Job_type,Salary,Hours,Link,ID,Skills,Responsibilities,Qualifications
"Apr 13, 2026","['Data Analyst', 'Analyst']",Full Time,,40,https://www.onlinejobs.ph/jobseekers/job/Data-Analyst-SQL-Heavy-Systems-Focused-1605959,14,"['SQL', 'Excel', 'Tableau', 'Power BI', ' BI', 'Cleaning', 'ETL', 'Data Modeling', 'Reporting', 'Dashboard', 'Google Sheet', 'Looker', 'Metrics', 'Warehouse']","['analyze', 'report', 'dashboards', 'decision-making', 'collaborate', 'clean', 'track', 'build', 'accuracy', 'datasets', 'analysis', 'metrics', 'validation']",['experience']
"Apr 13, 2026","['Data Analyst', 'Analyst']",Full Time,5.0,40,https://www.onlinejobs.ph/jobseekers/job/PRODUCT-DATA-ANALYST-Remote-Flexible-800month-1615431,15,"['SQL', 'Python', ' BI', ' AI', 'A/B', 'Google Analytics', 'Critical Thinking', 'Communication', 'KPI', 'Metrics', 'Pipeline', 'Strategy']","['analyze', 'trends', 'insights', 'decision-making', 'monitor', 'track', 'KPI', 'build', 'analysis', 'metrics', 'query', 'trends']",['experience']
"Apr 10, 2026","['Accounting', 'Auditing', 'Analyst', 'Entry']",Full Time,3.13,40,https://www.onlinejobs.ph/jobseekers/job/Data-Entry-Analyst-With-Accounting-or-Auditing-Skills-1621239,16,"['Excel', 'Google Sheet', 'Communication', 'Stakeholder', 'Management']","['analyze', 'trends', 'insights', 'decision-making', 'track', 'interpret', 'accuracy', 'analysis', 'solve', 'communicate', 'stakeholders', 'document', 'trends']","['education', 'computer science', 'information technology', 'data science', 'experience', 'entry']"
"Apr 10, 2026","['Data Analyst', 'Analyst', 'Ecommerce', 'Reporting', 'Specialist']",Full Time,6.03,40,https://www.onlinejobs.ph/jobseekers/job/Data-Analyst-Reporting-Specialist-Ecommerce-Agency-1621077,17,"['SQL', 'Python', 'Excel', 'Tableau', 'Power BI', ' BI', ' AI', 'Cleaning', 'Intelligence', 'Reporting', 'Dashboard', 'Google Sheet', 'Google Analytics', 'Looker', 'Communication', 'Stakeholder', 'Management', 'KPI', 'Metrics', 'Git', 'Strategy', 'spreadsheet']","['report', 'dashboards', 'trends', 'insights', 'decision-making', 'clean', 'track', 'KPI', 'build', 'accuracy', 'analysis', 'metrics', 'stakeholders', 'query', 'document', 'forecast', 'trends']","['experience', 'project']"
"Apr 9, 2026","['Data Analyst', 'Analyst']",Any,4.69,38,https://www.onlinejobs.ph/jobseekers/job/Loan-Data-Analyst-1620118,18,"['Excel', 'Communication']",['clean'],['experience']
"Apr 8, 2026","['E-commerce', 'Data Analyst', 'Analyst', 'Research']",Full Time,10.0,24,https://www.onlinejobs.ph/jobseekers/job/E-commerce-Data-Analyst-Product-Researcher-1619789,19,['Reporting'],"['report', 'build', 'analysis']","['experience', 'project', 'internet connection']"
"Apr 8, 2026","['Amazon', 'Marketing', 'Data Analyst', 'Data Scientist', 'Analyst', 'Market']",Part Time,,20,https://www.onlinejobs.ph/jobseekers/job/Data-Analyst-Data-Scientist-SQL-Marketing-Analytics-Amazon-Focus-1619455,20,"['SQL', 'Python', 'Intelligence', 'Reporting', 'Dashboard', 'Communication', 'Pandas', 'Strategy']","['analyze', 'report', 'dashboards', 'insights', 'decision-making', 'collaborate', 'build', 'datasets', 'analysis', 'solve', 'query']","['economics', 'experience']"
"Apr 6, 2026","['Design', 'graphic', 'email']",Full Time,4.69,40,https://www.onlinejobs.ph/jobseekers/job/Email-Graphic-Designer-URGENTLY-HIRING-1553423,21,"['Excel', 'Visual', 'Communication']","['trends', 'collaborate', 'track', 'build', 'visual', 'trends']","['experience', 'portfolio']"
"Apr 6, 2026","['Finance', 'Data Analyst', 'Analyst', 'Financial']",Full Time,,TBD,https://www.onlinejobs.ph/jobseekers/job/Financial-Data-Analyst-SQL-Focus-Finance-Analytics-Support-1617464,22,"['SQL', 'Excel', 'Tableau', 'Visual', 'Reporting', 'Dashboard', 'Snowflake', 'Communication', 'Stakeholder', 'Management', 'Warehouse']","['report', 'dashboards', 'trends', 'insights', 'collaborate', 'present', 'build', 'accuracy', 'datasets', 'analysis', 'visual', 'stakeholders', 'transform', 'query', 'forecast', 'trends']","['education', 'experience', 'excellent communication skills']"
"Apr 4, 2026","['Marketing', 'Data Analyst', 'Analyst', 'Market', 'Specialist']",Full Time,7.5,40,https://www.onlinejobs.ph/jobseekers/job/Marketing-Data-Analyst-Ads-Specialist-1616993,23,"['Excel', 'Reporting', 'Dashboard', 'Management', 'Strategy']","['report', 'monitor', 'track', 'build', 'accuracy']",['experience']
"Apr 3, 2026","['Analyst', 'Data Solutions']",Full Time,,TBD,https://www.onlinejobs.ph/jobseekers/job/Data-Solutions-Analyst-3-years-experience-1616230,24,"['SQL', ' BI', 'Reporting', 'Dashboard', 'Looker', 'Problem Solving', 'Communication', 'Stakeholder', 'Pipeline']","['report', 'dashboards', 'insights', 'build', 'accuracy', 'datasets', 'solve', 'communicate', 'stakeholders', 'query']","['computer science', 'engineering', 'data science', 'experience']"
"Apr 2, 2026","['Data Analyst', 'Analyst']",Full Time,5.0,30,https://www.onlinejobs.ph/jobseekers/job/Data-Analyst-1615700,25,"['SQL', 'Python', 'Excel', 'Tableau', 'Power BI', ' BI', 'Visual', 'Statistic', 'Reporting', 'Dashboard', 'Stakeholder', 'Governance', 'Metrics', 'Storytelling']","['analyze', 'report', 'dashboards', 'trends', 'insights', 'clean', 'monitor', 'present', 'findings', 'interpret', 'datasets', 'analysis', 'visual', 'communicate', 'metrics', 'stakeholders', 'trends']","['mathematics', 'computer science', 'experience']"
"Mar 31, 2026","['Data Analyst', 'Senior', 'Analyst']",Full Time,,TBD,https://www.onlinejobs.ph/jobseekers/job/Senior-Data-Analyst-1542629,26,"['SQL', 'Excel', 'Tableau', 'Power BI', ' BI', 'Visual', 'Statistic', 'Google Sheet', 'Management', 'Metrics']","['analyze', 'insights', 'present', 'analysis', 'visual', 'metrics']",['experience']
"Mar 30, 2026","['Virtual Assistant', 'Data Analyst', 'Analyst']",Full Time,5.0,40,https://www.onlinejobs.ph/jobseekers/job/Data-Analyst-Virtual-Assistant-1613566,27,"['SQL', 'Excel', 'Power BI', ' BI', 'Visual', 'Cleaning', 'Data Modeling', 'Reporting', 'Dashboard', 'Communication', 'Stakeholder', 'Pipeline', 'Warehouse']","['analyze', 'report', 'dashboards', 'trends', 'insights', 'clean', 'organize', 'present', 'findings', 'build', 'automate', 'accuracy', 'datasets', 'analysis', 'visual', 'validation', 'stakeholders', 'extract', 'transform', 'query', 'trends']",['experience']
"Mar 27, 2026","['Data Analyst', 'Analyst']",Any,4.66,40,https://www.onlinejobs.ph/jobseekers/job/Full-Time-Data-Analyst-Role-1612086,28,"['Google Sheet', 'Metrics']","['report', 'build', 'metrics']",['experience']
"Mar 27, 2026",['HighLevel'],Any,7.68,TBD,https://www.onlinejobs.ph/jobseekers/job/Affiliate-Growth-Partner-HighLevel-AI-Offer-1611738,29,"[' AI', 'Metrics']","['track', 'build', 'metrics']","['education', 'experience', 'senior']"
"Mar 26, 2026","['Data Analyst', 'Junior', 'Analyst']",Full Time,7.68,40,https://www.onlinejobs.ph/jobseekers/job/Junior-Data-Analyst-70000-PHP-MONTHLY-FRESH-GRADS-ARE-WELCOME-1593692,30,"['Excel', 'Dashboard', 'A/B', 'Google Analytics', 'Management', 'Strategy', 'spreadsheet']","['report', 'dashboards', 'trends', 'monitor', 'track', 'build', 'trends']","['graduate', 'experience', 'portfolio', 'mid', 'senior']"
"Mar 26, 2026","['Data Analyst', 'Analyst']",Full Time,8.0,40,https://www.onlinejobs.ph/jobseekers/job/Jr-Data-Analyst-70000-PHP-RETAINER-1596947,31,"['Excel', 'Statistic', 'Dashboard', 'A/B', 'Google Analytics', 'Management', 'Strategy', 'spreadsheet']","['report', 'dashboards', 'trends', 'monitor', 'track', 'build', 'trends']","['graduate', 'mathematics', 'computer science', 'engineering', 'experience', 'portfolio', 'mid', 'senior']"
"Mar 26, 2026","['Data Analyst', 'Analyst', 'Data Systems', 'Specialist']",Full Time,10.96,40,https://www.onlinejobs.ph/jobseekers/job/Data-Analyst-Data-Systems-Specialist-1611243,32,"['SQL', 'Tableau', 'Power BI', ' BI', 'Visual', ' AI', 'Reporting', 'Dashboard', 'Snowflake', 'KPI', 'Metrics', 'Pipeline', 'Warehouse', 'spreadsheet']","['report', 'dashboards', 'insights', 'decision-making', 'collaborate', 'organize', 'track', 'KPI', 'build', 'accuracy', 'visual', 'metrics', 'extract', 'transform', 'query']","['experience', 'project']"
"Mar 26, 2026","['Data Analyst', 'Senior', 'Analyst']",Full Time,13.75,TBD,https://www.onlinejobs.ph/jobseekers/job/Senior-Data-Analyst-1610893,33,"['SQL', 'Tableau', ' BI', 'Visual', 'Statistic', 'Cleaning', 'ETL', 'Data Modeling', 'Reporting', 'Dashboard', 'Google Analytics', 'Stakeholder', 'Management', 'Pipeline', 'Git']","['report', 'dashboards', 'insights', 'clean', 'track', 'build', 'accuracy', 'analysis', 'visual', 'solve', 'communicate', 'stakeholders', 'query']","['mathematics', 'computer science', 'experience', 'certifications', 'Google Data Analytics', 'senior']"
"Mar 25, 2026","['Power BI', 'Looker Studio', 'Data Analyst', 'Analyst', 'BI', 'Power BI']",Any,6.0,40,https://www.onlinejobs.ph/jobseekers/job/Data-Analyst-Dashboarding-Expert-Power-BI-Looker-Studio-Full-Time-Start-Immediately-1527879,34,"['SQL', 'Excel', 'Power BI', ' BI', 'Cleaning', 'Data Modeling', 'Reporting', 'Dashboard', 'Google Sheet', 'Looker', 'Communication', 'Management', 'KPI']","['report', 'dashboards', 'trends', 'insights', 'clean', 'monitor', 'track', 'KPI', 'build', 'interpret', 'analysis', 'transform', 'query', 'document', 'trends']",['experience']
"Mar 24, 2026","['E-commerce', 'Data Analyst', 'Analyst', 'Retention']",Full Time,7.0,TBD,https://www.onlinejobs.ph/jobseekers/job/Retention-Data-Analyst-E-Commerce-Subscription-1604774,35,"['Excel', ' BI', 'Dashboard', 'Google Sheet', 'Metrics']","['analyze', 'report', 'dashboards', 'trends', 'insights', 'collaborate', 'monitor', 'build', 'interpret', 'metrics', 'extract', 'trends']",['experience']
"Mar 24, 2026","['Data Analyst', 'Analyst']",Full Time,3.12,40,https://www.onlinejobs.ph/jobseekers/job/Data-Analyst-Remote-1609552,36,"['SQL', 'Python', 'Excel', ' BI', 'Visual', 'Data Modeling', 'Intelligence', 'Reporting', 'Dashboard', 'Predictive', 'Stakeholder', 'Management', 'KPI', 'Strategy']","['report', 'dashboards', 'insights', 'KPI', 'build', 'automate', 'accuracy', 'analysis', 'visual', 'validation', 'stakeholders', 'extract', 'document', 'forecast']","['experience', 'certifications', 'project', 'senior']"
"Mar 21, 2026","['Airbnb', 'Property Management', 'Data Analyst', 'Analyst']",Full Time,5.0,40,https://www.onlinejobs.ph/jobseekers/job/Airbnb-Property-Management-Data-Analyst-1607430,37,"['Excel', ' AI']","['clean', 'analysis']",[]
"Mar 18, 2026","['Analyst', 'Workforce']",Full Time,9.45,40,https://www.onlinejobs.ph/jobseekers/job/Workforce-Analyst-1605070,38,"['Excel', 'Power BI', ' BI', 'Visual', 'Cleaning', 'Data Modeling', 'Reporting', 'Dashboard', 'Google Sheet', 'Communication', 'Management', 'Metrics']","['report', 'dashboards', 'trends', 'insights', 'decision-making', 'clean', 'organize', 'build', 'automate', 'analysis', 'visual', 'metrics', 'query', 'document', 'trends']","['engineering', 'experience']"
"Mar 18, 2026","['ERP', 'Business', 'Analyst']",Full Time,,40,https://www.onlinejobs.ph/jobseekers/job/Business-Analyst-ERP-Data-Analytics-1604316,39,"['SQL', 'Excel', 'Power BI', ' BI', 'Visual', 'Reporting', 'Dashboard', 'Management', 'KPI']","['report', 'trends', 'insights', 'decision-making', 'clean', 'present', 'findings', 'KPI', 'build', 'interpret', 'datasets', 'visual', 'validation', 'extract', 'transform', 'query', 'trends']",['experience']
"Mar 12, 2026","['Marketing', 'Data Analyst', 'Analyst', 'Market', 'Automation']",Part Time,15.62,15,https://www.onlinejobs.ph/jobseekers/job/Marketing-Sales-Data-Analyst-Automation-Dashboard-1600250,40,"['Excel', 'Reporting', 'Dashboard', 'Google Sheet', 'Looker', 'Metrics', 'Pipeline', 'spreadsheet']","['report', 'dashboards', 'insights', 'clean', 'present', 'track', 'build', 'automate', 'analysis', 'metrics', 'extract']",['experience']
"Mar 12, 2026","['Revenue Share', 'Revenue', 'Manager']",Any,17.19,TBD,https://www.onlinejobs.ph/jobseekers/job/Growth-Manager-Revenue-Share-Opportunity-1599801,41,"[' AI', 'Metrics', 'Strategy']","['build', 'metrics', 'document']","['education', 'project']"
"Mar 12, 2026","['Market', 'Performance']",Any,17.19,TBD,https://www.onlinejobs.ph/jobseekers/job/20003500-Performance-Upside-Affiliate-Marketer-1599799,42,"[' AI', 'Metrics', 'Strategy']","['build', 'metrics', 'document']","['education', 'project']"
"Mar 12, 2026","['STR', 'Marketing', 'Affiliate Marketing', 'Revenue Share', 'Market', 'Revenue']",Any,8.59,TBD,https://www.onlinejobs.ph/jobseekers/job/Affiliate-Marketing-Direct-Response-Growth-Strategist-20003500-Revenue-Share-1599797,43,"[' AI', 'Metrics', 'Strategy']","['build', 'metrics', 'document']","['education', 'project']"
"Mar 12, 2026","['Social Media', 'Instagram', 'TikTok', 'Data Analyst', 'Analyst', 'Social Media']",Full Time,14.0,40,https://www.onlinejobs.ph/jobseekers/job/Social-Media-Data-Analyst-Instagram-Reels-TikTok-1599308,44,"['Reporting', 'Communication', 'Metrics', 'Strategy']","['analyze', 'report', 'trends', 'insights', 'monitor', 'metrics', 'trends']",['experience']
"Mar 6, 2026","['Amazon', 'Data Analyst', 'Analyst', 'Performance', 'Creative']",Part Time,4.0,10,https://www.onlinejobs.ph/jobseekers/job/Creative-Performance-Data-Analyst-Amazon-Video-Ads-1577337,45,"['Reporting', 'Dashboard']","['analyze', 'report', 'dashboards', 'insights', 'clean']","['experience', 'entry']"
"Mar 5, 2026","['Data Analyst', 'Analyst', 'Performance']",Full Time,15.0,40,https://www.onlinejobs.ph/jobseekers/job/Data-Analyst-Lead-Call-Performance-1594438,46,"['SQL', 'Excel', 'Tableau', 'Power BI', ' BI', 'Visual', 'Intelligence', 'Reporting', 'Dashboard', 'Google Sheet', 'Looker', 'Communication', 'Management', 'Metrics']","['analyze', 'report', 'dashboards', 'trends', 'insights', 'present', 'findings', 'track', 'build', 'interpret', 'accuracy', 'datasets', 'analysis', 'visual', 'metrics', 'validation', 'query', 'trends']","['experience', 'senior']"
"Mar 4, 2026","['Business', 'Analyst', 'Financial', 'Operations', 'Operations']",Part Time,4.48,20,https://www.onlinejobs.ph/jobseekers/job/Business-Operations-Data-and-Financial-Analyst-1593174,47,"['Excel', ' BI', 'Visual', 'Reporting', 'Dashboard', 'Management', 'KPI']","['report', 'dashboards', 'present', 'track', 'KPI', 'build', 'interpret', 'analysis', 'visual', 'communicate', 'extract']","['experience', 'entry', 'senior']"
"Mar 2, 2026","['Data Analyst', 'Analyst', 'Fractional', 'CFO']",Part Time,5.0,20,https://www.onlinejobs.ph/jobseekers/job/FRACTIONAL-CFO-ECOM-DATA-ANALYST-1590957,48,"['Excel', ' BI', 'Reporting', 'Dashboard', 'Google Sheet', 'Management', 'Strategy']","['analyze', 'report', 'dashboards', 'insights', 'monitor', 'present', 'build', 'accuracy', 'analysis', 'forecast']",['experience']
"Feb 24, 2026","['Real Estate', 'Data Analyst', 'Analyst', 'Real Estate']",Full Time,,40,https://www.onlinejobs.ph/jobseekers/job/Real-Estate-Data-Analyst-1587259,49,"['Excel', ' AI', 'Cleaning', 'Reporting', 'Communication', 'Management']","['report', 'clean', 'organize', 'monitor', 'accuracy', 'analysis', 'solve', 'communicate', 'load', 'document']","['experience', 'project', 'entry', 'internet connection']"
"Feb 23, 2026","['Data Analyst', 'Analyst', 'Research', 'Associate']",Full Time,,40,https://www.onlinejobs.ph/jobseekers/job/Research-Associate-Data-Analyst-1565221,50,"['Python', 'Excel', 'Statistic', ' AI', 'Intelligence', 'Reporting', 'Communication', 'Stakeholder']","['report', 'insights', 'clean', 'findings', 'track', 'build', 'analysis', 'stakeholders', 'extract', 'document']","['education', ""master's degree"", 'data science', 'experience', 'portfolio']"
"Feb 23, 2026","['Google Sheets', 'Data Analyst', 'Analyst', 'Ecommerce', 'KPI']",Gig,6.5,TBD,https://www.onlinejobs.ph/jobseekers/job/Google-Sheets-Data-Analyst-Ecommerce-KPI-Dashboard-Build-Project-Based-1585807,51,"['Dashboard', 'Google Sheet', 'KPI', 'Metrics']","['dashboards', 'track', 'KPI', 'build', 'automate', 'metrics', 'query', 'document']","['experience', 'entry']"
"Feb 21, 2026","['Data Analyst', 'Analyst', 'Reporting', 'Specialist', 'Automation']",Any,6.25,30,https://www.onlinejobs.ph/jobseekers/job/Database-Reporting-and-AI-Specialist-Data-Analyst-Automation-Expert-1584954,52,"[' BI', ' AI', 'Intelligence', 'Reporting', 'Dashboard', 'Google Sheet', 'Looker', 'spreadsheet']","['report', 'dashboards', 'clean', 'build', 'automate', 'query']",[]
"Feb 20, 2026","['Call Center', 'Data Analyst', 'Analyst', 'Reporting']",Full Time,7.29,40,https://www.onlinejobs.ph/jobseekers/job/Full-Time-Data-Analyst-Advanced-Excel-Call-Center-Reporting-1000month-1584081,53,"['Excel', ' AI', 'Reporting', 'Dashboard']","['report', 'dashboards', 'clean', 'build', 'datasets', 'solve']",['experience']
"Feb 19, 2026","['Senior', 'Business', 'Analyst']",Full Time,4.69,40,https://www.onlinejobs.ph/jobseekers/job/Senior-Data-Business-Analyst-1583577,54,"['SQL', 'Python', 'Tableau', 'Power BI', ' BI', 'Machine Learning', ' AI', 'Reporting', 'Dashboard', 'Stakeholder', 'Governance', 'KPI', 'Metrics', 'Strategy']","['analyze', 'report', 'dashboards', 'insights', 'findings', 'KPI', 'build', 'datasets', 'analysis', 'metrics', 'validation', 'stakeholders', 'transform']","['engineering', 'data science', 'experience', 'mid']"
"Feb 17, 2026","['Airtable', 'Virtual Assistant', 'Data Analyst', 'Analyst', 'Automation']",Part Time,,15,https://www.onlinejobs.ph/jobseekers/job/Virtual-Assistant-Data-Analyst-Airtable-Automations-1581421,55,"['Excel', ' AI', 'Google Sheet', 'Metrics', 'spreadsheet']","['report', 'trends', 'present', 'analysis', 'metrics', 'trends']",['experience']
"Feb 10, 2026","['Healthcare', 'Data Analyst', 'Analyst', 'Revenue']",Part Time,,10,https://www.onlinejobs.ph/jobseekers/job/Part-Time-Mathematician-Data-Analyst-Healthcare-Revenue-IDR-Analysis-1576251,56,"['Excel', ' BI', 'Statistic', 'Dashboard', 'Google Sheet']","['analyze', 'dashboards', 'trends', 'insights', 'findings', 'accuracy', 'datasets', 'analysis', 'trends']","['mathematics', 'economics', 'experience', 'project']"
"Feb 5, 2026","['Data Analyst', 'Analyst']",Full Time,3.8,40,https://www.onlinejobs.ph/jobseekers/job/Data-analyst-1572424,57,"['Excel', 'Communication', 'Management']","['analyze', 'report', 'present', 'analysis', 'validation', 'load']","['graduate', 'experience']"
"Feb 4, 2026","['Amazon', 'Data Analyst', 'Analyst']",Any,5.0,25,https://www.onlinejobs.ph/jobseekers/job/Amazon-Lead-Reviewer-and-Data-Analyst-1556387,58,[],"['analyze', 'trends', 'trends']",[]
"Feb 3, 2026",['Analyst'],Part Time,4.11,TBD,https://www.onlinejobs.ph/jobseekers/job/PROPERTY-DATA-VERIFICATION-QUALITY-ANALYST-1567791,59,"['Excel', 'spreadsheet']","['clean', 'build', 'accuracy', 'validation']",['experience']
"Feb 1, 2026","['SEO', 'Data Analyst', 'Analyst', 'SEO']",Full Time,7.5,TBD,https://www.onlinejobs.ph/jobseekers/job/Data-Analyst-SEO-1418418,60,"['SQL', 'Python', 'Excel', 'Visual', 'ETL', 'Reporting', 'Dashboard', 'Google Analytics', 'Looker', 'Communication', 'Git']","['analyze', 'report', 'dashboards', 'trends', 'insights', 'clean', 'monitor', 'present', 'accuracy', 'analysis', 'visual', 'solve', 'trends']","['engineering', 'data science', 'experience']"
"Jan 29, 2026","['Data Analyst', 'Business', 'Analyst']",Full Time,4.69,TBD,https://www.onlinejobs.ph/jobseekers/job/Data-AnalystBusiness-Analyst-1566986,61,"['SQL', 'Python', 'Tableau', 'Power BI', ' BI', 'Visual', 'Statistic', ' AI', 'ETL', 'Data Modeling', 'Intelligence', 'Reporting', 'Dashboard', 'Predictive', 'Communication', 'Stakeholder', 'Management', 'Governance', 'Pipeline', 'Regression']","['report', 'dashboards', 'trends', 'collaborate', 'present', 'findings', 'build', 'automate', 'datasets', 'analysis', 'visual', 'solve', 'communicate', 'validation', 'stakeholders', 'transform', 'query', 'document', 'forecast', 'trends']","['engineering', 'experience', 'portfolio']"
"Jan 28, 2026","['Marketing', 'Data Analyst', 'Analyst', 'Market']",Full Time,10.94,40,https://www.onlinejobs.ph/jobseekers/job/Marketing-Science-Data-Analyst-1556508,62,"['Excel', 'Intelligence', 'Reporting', 'Communication', 'KPI', 'Git']","['analyze', 'report', 'trends', 'insights', 'collaborate', 'track', 'KPI', 'accuracy', 'analysis', 'solve', 'trends']","['education', 'experience', 'entry']"
"Jan 27, 2026","['Amplitude', 'Business', 'Analyst']",Full Time,6.25,TBD,https://www.onlinejobs.ph/jobseekers/job/Amplitude-Expert-with-Business-Analyst-Background-1558125,63,"['SQL', 'Excel', 'Tableau', 'Visual', 'Reporting', 'Dashboard', 'A/B', 'Predictive', 'Google Sheet', 'Looker', 'Communication', 'Management', 'Metrics', 'spreadsheet']","['report', 'dashboards', 'insights', 'monitor', 'present', 'track', 'build', 'analysis', 'visual', 'metrics', 'extract', 'transform', 'document']","['experience', 'senior']"
"Jan 27, 2026","['Data Analyst', 'Analyst']",Full Time,7.5,40,https://www.onlinejobs.ph/jobseekers/job/Data-analyst-1564566,64,"['Excel', 'Visual', 'Dashboard', 'KPI']","['analyze', 'report', 'dashboards', 'trends', 'insights', 'collaborate', 'clean', 'organize', 'monitor', 'KPI', 'interpret', 'accuracy', 'datasets', 'analysis', 'visual', 'communicate', 'trends']",['internet connection']
"Jan 26, 2026","['Short-Term Rental', 'Data Analyst', 'Analyst', 'Revenue', 'Manager']",Any,4.69,30,https://www.onlinejobs.ph/jobseekers/job/Revenue-Manager-Data-Analyst-Short-Term-Rentals-1564213,65,"['Excel', ' AI', 'Dashboard', 'Google Sheet', 'Management', 'Metrics']","['analyze', 'report', 'dashboards', 'organize', 'monitor', 'build', 'analysis', 'metrics']","['experience', 'portfolio', 'project', 'entry']"
"Jan 25, 2026","['Betfair', 'Data Analyst', 'Analyst', 'Specialist', 'Sports']",Any,3.12,25,https://www.onlinejobs.ph/jobseekers/job/Sports-Trading-Specialist-Betfair-Data-Analyst-1563216,66,"['Excel', 'Strategy']","['analyze', 'monitor', 'track', 'analysis', 'load']","['experience', 'internet connection']"
