ID,Responsibilities,Salary
33,stakeholders,13.75
33,query,13.75
34,report,6.0
34,dashboards,6.0
34,trends,6.0
34,insights,6.0
34,clean,6.0
34,monitor,6.0
34,track,6.0
34,KPI,6.0
34,build,6.0
34,interpret,6.0
34,analysis,6.0
34,transform,6.0
34,query,6.0
34,document,6.0
34,trends,6.0
35,analyze,7.0
35,report,7.0
35,dashboards,7.0
35,trends,7.0
35,insights,7.0
35,collaborate,7.0
35,monitor,7.0
35,build,7.0
35,interpret,7.0
35,metrics,7.0
35,extract,7.0
35,trends,7.0
36,report,3.12
36,dashboards,3.12
36,insights,3.12
36,KPI,3.12
36,build,3.12
36,automate,3.12
36,accuracy,3.12
36,analysis,3.12
36,visual,3.12
36,validation,3.12
36,stakeholders,3.12
36,extract,3.12
36,document,3.12
36,forecast,3.12
37,clean,5.0
37,analysis,5.0
38,report,9.45
38,dashboards,9.45
38,trends,9.45
38,insights,9.45
38,decision-making,9.45
38,clean,9.45
38,organize,9.45
38,build,9.45
38,automate,9.45
38,analysis,9.45
38,visual,9.45
38,metrics,9.45
38,query,9.45
38,document,9.45
38,trends,9.45
39,report,
39,trends,
39,insights,
39,decision-making,
39,clean,
39,present,
39,findings,
39,KPI,
39,build,
39,interpret,
39,datasets,
39,visual,
39,validation,
39,extract,
39,transform,
39,query,
39,trends,
40,report,15.62
40,dashboards,15.62
40,insights,15.62
40,clean,15.62
40,present,15.62
40,track,15.62
40,build,15.62
40,automate,15.62
40,analysis,15.62
40,metrics,15.62
40,extract,15.62
41,build,17.19
41,metrics,17.19
41,document,17.19
42,build,17.19
42,metrics,17.19
42,document,17.19
43,build,8.59
43,metrics,8.59
43,document,8.59
44,analyze,14.0
44,report,14.0
44,trends,14.0
44,insights,14.0
44,monitor,14.0
44,metrics,14.0
44,trends,14.0
45,analyze,4.0
45,report,4.0
45,dashboards,4.0
45,insights,4.0
45,clean,4.0
46,analyze,15.0
46,report,15.0
46,dashboards,15.0
46,trends,15.0
46,insights,15.0
46,present,15.0
46,findings,15.0
46,track,15.0
46,build,15.0
46,interpret,15.0
46,accuracy,15.0
46,datasets,15.0
46,analysis,15.0
46,visual,15.0
46,metrics,15.0
46,validation,15.0
46,query,15.0
46,trends,15.0
47,report,4.48
47,dashboards,4.48
47,present,4.48
47,track,4.48
47,KPI,4.48
47,build,4.48
47,interpret,4.48
47,analysis,4.48
47,visual,4.48
47,communicate,4.48
47,extract,4.48
48,analyze,5.0
48,report,5.0
48,dashboards,5.0
48,insights,5.0
48,monitor,5.0
48,present,5.0
48,build,5.0
48,accuracy,5.0
48,analysis,5.0
48,forecast,5.0
49,report,
49,clean,
49,organize,
49,monitor,
49,accuracy,
49,analysis,
49,solve,
49,communicate,
49,load,
49,document,
50,report,
50,insights,
50,clean,
50,findings,
50,track,
50,build,
50,analysis,
50,stakeholders,
50,extract,
50,document,
51,dashboards,6.5
51,track,6.5
51,KPI,6.5
51,build,6.5
51,automate,6.5
51,metrics,6.5
51,query,6.5
51,document,6.5
52,report,6.25
52,dashboards,6.25
52,clean,6.25
52,build,6.25
52,automate,6.25
52,query,6.25
53,report,7.29
53,dashboards,7.29
53,clean,7.29
53,build,7.29
53,datasets,7.29
53,solve,7.29
54,analyze,4.69
54,report,4.69
54,dashboards,4.69
54,insights,4.69
54,findings,4.69
54,KPI,4.69
54,build,4.69
54,datasets,4.69
54,analysis,4.69
54,metrics,4.69
54,validation,4.69
54,stakeholders,4.69
54,transform,4.69
55,report,
55,trends,
55,present,
55,analysis,
55,metrics,
55,trends,
56,analyze,
56,dashboards,
56,trends,
56,insights,
56,findings,
56,accuracy,
56,datasets,
56,analysis,
56,trends,
57,analyze,3.8
57,report,3.8
57,present,3.8
57,analysis,3.8
57,validation,3.8
57,load,3.8
58,analyze,5.0
58,trends,5.0
58,trends,5.0
59,clean,4.11
59,build,4.11
59,accuracy,4.11
59,validation,4.11
60,analyze,7.5
60,report,7.5
60,dashboards,7.5
60,trends,7.5
60,insights,7.5
60,clean,7.5
60,monitor,7.5
60,present,7.5
60,accuracy,7.5
60,analysis,7.5
60,visual,7.5
60,solve,7.5
60,trends,7.5
61,report,4.69
61,dashboards,4.69
61,trends,4.69
61,collaborate,4.69
61,present,4.69
61,findings,4.69
61,build,4.69
61,automate,4.69
61,datasets,4.69
61,analysis,4.69
61,visual,4.69
61,solve,4.69
61,communicate,4.69
61,validation,4.69
61,stakeholders,4.69
61,transform,4.69
61,query,4.69
61,document,4.69
61,forecast,4.69
61,trends,4.69
62,analyze,10.94
62,report,10.94
62,trends,10.94
62,insights,10.94
62,collaborate,10.94
62,track,10.94
62,KPI,10.94
62,accuracy,10.94
62,analysis,10.94
62,solve,10.94
62,trends,10.94
63,report,6.25
63,dashboards,6.25
63,insights,6.25
63,monitor,6.25
63,present,6.25
63,track,6.25
63,build,6.25
63,analysis,6.25
63,visual,6.25
63,metrics,6.25
63,extract,6.25
63,transform,6.25
63,document,6.25
64,analyze,7.5
64,report,7.5
64,dashboards,7.5
64,trends,7.5
64,insights,7.5
64,collaborate,7.5
64,clean,7.5
64,organize,7.5
64,monitor,7.5
64,KPI,7.5
64,interpret,7.5
64,accuracy,7.5
64,datasets,7.5
64,analysis,7.5
64,visual,7.5
64,communicate,7.5
64,trends,7.5
65,analyze,4.69
65,report,4.69
65,dashboards,4.69
65,organize,4.69
65,monitor,4.69
65,build,4.69
65,analysis,4.69
65,metrics,4.69
66,analyze,3.12
66,monitor,3.12
66,track,3.12
66,analysis,3.12
66,load,3.12
67,analyze,6.5
67,clean,6.5
67,organize,6.5
67,build,6.5
67,automate,6.5
67,accuracy,6.5
67,validation,6.5
68,report,1.88
68,insights,1.88
68,clean,1.88
68,organize,1.88
68,track,1.88
68,KPI,1.88
68,build,1.88
68,accuracy,1.88
68,visual,1.88
68,document,1.88
69,analyze,8.0
69,report,8.0
69,dashboards,8.0
69,trends,8.0
69,insights,8.0
69,monitor,8.0
69,track,8.0
69,KPI,8.0
69,analysis,8.0
69,visual,8.0
69,communicate,8.0
69,metrics,8.0
69,forecast,8.0
69,trends,8.0
70,analyze,7.5
70,report,7.5
70,dashboards,7.5
70,trends,7.5
70,insights,7.5
70,decision-making,7.5
70,clean,7.5
70,monitor,7.5
70,track,7.5
70,build,7.5
70,analysis,7.5
70,visual,7.5
70,metrics,7.5
70,document,7.5
70,forecast,7.5
70,trends,7.5
71,report,4.69
71,dashboards,4.69
71,KPI,4.69
71,build,4.69
71,accuracy,4.69
71,metrics,4.69
71,query,4.69
72,report,4.06
72,dashboards,4.06
72,trends,4.06
72,track,4.06
72,accuracy,4.06
72,metrics,4.06
72,trends,4.06
73,trends,8.0
73,insights,8.0
73,collaborate,8.0
73,clean,8.0
73,analysis,8.0
73,trends,8.0
74,report,13.16
74,present,13.16
74,findings,13.16
74,build,13.16
74,metrics,13.16
75,analyze,6.25
75,report,6.25
75,monitor,6.25
75,track,6.25
75,solve,6.25
76,report,7.81
76,dashboards,7.81
76,trends,7.81
76,insights,7.81
76,clean,7.81
76,track,7.81
76,KPI,7.81
76,build,7.81
76,accuracy,7.81
76,communicate,7.81
76,validation,7.81
76,query,7.81
76,forecast,7.81
76,trends,7.81
77,report,137.5
77,dashboards,137.5
77,trends,137.5
77,insights,137.5
77,decision-making,137.5
77,monitor,137.5
77,track,137.5
77,accuracy,137.5
77,analysis,137.5
77,solve,137.5
77,communicate,137.5
77,metrics,137.5
77,validation,137.5
77,load,137.5
77,query,137.5
77,trends,137.5
78,analyze,7.5
78,insights,7.5
78,organize,7.5
78,analysis,7.5
79,report,6.03
79,insights,6.03
79,collaborate,6.03
79,clean,6.03
79,organize,6.03
79,findings,6.03
79,build,6.03
79,interpret,6.03
79,automate,6.03
79,accuracy,6.03
79,datasets,6.03
79,analysis,6.03
79,visual,6.03
79,metrics,6.03
79,document,6.03
80,report,7.81
80,dashboards,7.81
80,insights,7.81
80,collaborate,7.81
80,clean,7.81
80,build,7.81
80,automate,7.81
80,datasets,7.81
80,visual,7.81
80,validation,7.81
80,stakeholders,7.81
80,extract,7.81
80,transform,7.81
80,query,7.81
80,document,7.81
81,report,
81,interpret,
81,analysis,
81,extract,
82,analyze,6.25
82,report,6.25
82,dashboards,6.25
82,insights,6.25
82,decision-making,6.25
82,collaborate,6.25
82,clean,6.25
82,present,6.25
82,track,6.25
82,build,6.25
82,datasets,6.25
82,analysis,6.25
82,visual,6.25
82,validation,6.25
82,stakeholders,6.25
82,transform,6.25
82,document,6.25
83,report,3.12
83,dashboards,3.12
83,insights,3.12
83,track,3.12
83,build,3.12
83,visual,3.12
84,report,6.25
84,dashboards,6.25
84,insights,6.25
84,track,6.25
84,build,6.25
84,interpret,6.25
84,visual,6.25
85,analyze,5.62
85,report,5.62
85,dashboards,5.62
85,insights,5.62
85,decision-making,5.62
85,clean,5.62
85,present,5.62
85,KPI,5.62
85,build,5.62
85,automate,5.62
85,analysis,5.62
85,visual,5.62
85,transform,5.62
85,forecast,5.62
86,analyze,2.19
86,report,2.19
86,insights,2.19
86,organize,2.19
86,present,2.19
86,interpret,2.19
86,accuracy,2.19
86,analysis,2.19
86,visual,2.19
86,extract,2.19
86,document,2.19
87,report,5.0
87,collaborate,5.0
87,monitor,5.0
87,present,5.0
87,build,5.0
87,automate,5.0
87,extract,5.0
87,transform,5.0
87,load,5.0
87,document,5.0
88,analyze,2.5
88,report,2.5
88,trends,2.5
88,insights,2.5
88,collaborate,2.5
88,present,2.5
88,build,2.5
88,automate,2.5
88,accuracy,2.5
88,analysis,2.5
88,extract,2.5
88,document,2.5
88,trends,2.5
89,report,
89,dashboards,
89,clean,
89,findings,
89,gather requirements,
89,automate,
89,analysis,
89,visual,
89,communicate,
89,stakeholders,
89,transform,
89,query,
90,report,7.5
90,dashboards,7.5
90,clean,7.5
90,organize,7.5
90,track,7.5
90,build,7.5
90,automate,7.5
90,datasets,7.5
90,analysis,7.5
90,solve,7.5
90,metrics,7.5
90,validation,7.5
90,extract,7.5
90,transform,7.5
90,query,7.5
90,document,7.5
91,report,5.0
91,dashboards,5.0
91,trends,5.0
91,insights,5.0
91,clean,5.0
91,organize,5.0
91,monitor,5.0
91,present,5.0
91,track,5.0
91,KPI,5.0
91,build,5.0
91,accuracy,5.0
91,datasets,5.0
91,analysis,5.0
91,transform,5.0
91,load,5.0
91,trends,5.0
92,trends,2.5
92,clean,2.5
92,monitor,2.5
92,present,2.5
92,communicate,2.5
92,trends,2.5
93,analyze,3.0
93,collaborate,3.0
93,analysis,3.0
93,validation,3.0
93,document,3.0
94,analyze,3.0
94,report,3.0
94,trends,3.0
94,metrics,3.0
94,trends,3.0
95,analyze,
95,report,
95,dashboards,
95,insights,
95,present,
95,analysis,
96,analyze,10.0
96,report,10.0
96,dashboards,10.0
96,trends,10.0
96,insights,10.0
96,collaborate,10.0
96,monitor,10.0
96,present,10.0
96,findings,10.0
96,interpret,10.0
96,analysis,10.0
96,metrics,10.0
96,stakeholders,10.0
96,forecast,10.0
96,trends,10.0
97,report,5.0
97,trends,5.0
97,insights,5.0
97,collaborate,5.0
97,build,5.0
97,analysis,5.0
97,trends,5.0
98,report,10.0
98,dashboards,10.0
98,trends,10.0
98,insights,10.0
98,clean,10.0
98,track,10.0
98,KPI,10.0
98,build,10.0
98,accuracy,10.0
98,visual,10.0
98,stakeholders,10.0
98,transform,10.0
98,load,10.0
98,query,10.0
98,document,10.0
98,trends,10.0
99,report,2.63
99,trends,2.63
99,track,2.63
99,build,2.63
99,analysis,2.63
99,metrics,2.63
99,validation,2.63
99,query,2.63
99,forecast,2.63
99,trends,2.63
100,clean,4.39
100,monitor,4.39
100,track,4.39
100,build,4.39
100,datasets,4.39
100,transform,4.39
100,load,4.39
100,document,4.39
101,analyze,
101,build,
102,report,10.0
102,dashboards,10.0
102,insights,10.0
102,clean,10.0
102,datasets,10.0
102,analysis,10.0
102,visual,10.0
102,extract,10.0
102,transform,10.0
103,analyze,4.69
103,insights,4.69
103,track,4.69
103,build,4.69
103,automate,4.69
103,query,4.69
104,report,6.25
104,dashboards,6.25
104,decision-making,6.25
104,clean,6.25
104,track,6.25
104,build,6.25
104,accuracy,6.25
104,analysis,6.25
104,visual,6.25
104,validation,6.25
105,report,
105,dashboards,
105,insights,
105,track,
105,KPI,
105,accuracy,
105,metrics,
106,report,4.66
106,insights,4.66
106,decision-making,4.66
106,present,4.66
106,track,4.66
106,interpret,4.66
106,analysis,4.66
106,communicate,4.66
106,metrics,4.66
106,document,4.66
107,trends,5.0
107,track,5.0
107,build,5.0
107,visual,5.0
107,trends,5.0
108,collaborate,4.0
108,clean,4.0
108,build,4.0
108,automate,4.0
108,datasets,4.0
108,extract,4.0
108,transform,4.0
108,load,4.0
109,report,4.39
109,load,4.39
110,report,6.25
110,dashboards,6.25
110,trends,6.25
110,insights,6.25
110,collaborate,6.25
110,organize,6.25
110,track,6.25
110,build,6.25
110,analysis,6.25
110,trends,6.25
111,analyze,10.5
111,report,10.5
111,collaborate,10.5
111,organize,10.5
111,monitor,10.5
111,track,10.5
111,KPI,10.5
111,build,10.5
111,accuracy,10.5
111,analysis,10.5
111,metrics,10.5
111,document,10.5
112,report,9.38
112,accuracy,9.38
112,datasets,9.38
112,analysis,9.38
112,validation,9.38
112,extract,9.38
112,query,9.38
113,report,10.94
113,trends,10.94
113,insights,10.94
113,track,10.94
113,build,10.94
113,automate,10.94
113,accuracy,10.94
113,analysis,10.94
113,visual,10.94
113,solve,10.94
113,transform,10.94
113,trends,10.94
114,analyze,6.25
114,report,6.25
114,dashboards,6.25
114,trends,6.25
114,insights,6.25
114,collaborate,6.25
114,present,6.25
114,findings,6.25
114,track,6.25
114,KPI,6.25
114,build,6.25
114,interpret,6.25
114,automate,6.25
114,accuracy,6.25
114,analysis,6.25
114,visual,6.25
114,metrics,6.25
114,stakeholders,6.25
114,extract,6.25
114,transform,6.25
114,query,6.25
114,forecast,6.25
114,trends,6.25
115,analyze,21.93
115,report,21.93
115,trends,21.93
115,insights,21.93
115,clean,21.93
115,organize,21.93
115,visual,21.93
115,metrics,21.93
115,extract,21.93
115,trends,21.93
116,build,6.5
117,report,5.0
117,dashboards,5.0
117,trends,5.0
117,monitor,5.0
117,findings,5.0
117,track,5.0
117,accuracy,5.0
117,trends,5.0
118,report,6.09
118,interpret,6.09
118,accuracy,6.09
118,document,6.09
119,report,6.88
119,insights,6.88
119,present,6.88
119,track,6.88
119,interpret,6.88
119,accuracy,6.88
119,analysis,6.88
119,metrics,6.88
119,extract,6.88
119,document,6.88
120,analyze,
120,report,
120,clean,
120,organize,
120,track,
120,build,
120,interpret,
120,communicate,
120,metrics,
120,extract,
121,build,
121,accuracy,
121,datasets,
121,communicate,
121,document,
122,build,3.12
122,accuracy,3.12
122,datasets,3.12
122,communicate,3.12
122,document,3.12
123,insights,11.24
123,clean,11.24
123,extract,11.24
123,transform,11.24
123,document,11.24
124,analyze,8.22
124,report,8.22
124,dashboards,8.22
124,trends,8.22
124,insights,8.22
124,collaborate,8.22
124,monitor,8.22
124,present,8.22
124,findings,8.22
124,track,8.22
124,KPI,8.22
124,analysis,8.22
124,visual,8.22
124,metrics,8.22
124,stakeholders,8.22
124,document,8.22
124,trends,8.22
125,analyze,8.22
125,report,8.22
125,dashboards,8.22
125,trends,8.22
125,insights,8.22
125,decision-making,8.22
125,collaborate,8.22
125,clean,8.22
125,organize,8.22
125,build,8.22
125,accuracy,8.22
125,datasets,8.22
125,analysis,8.22
125,visual,8.22
125,metrics,8.22
125,extract,8.22
125,transform,8.22
125,query,8.22
125,trends,8.22
126,analyze,5.0
126,report,5.0
126,dashboards,5.0
126,trends,5.0
126,insights,5.0
126,decision-making,5.0
126,collaborate,5.0
126,clean,5.0
126,organize,5.0
126,build,5.0
126,accuracy,5.0
126,datasets,5.0
126,analysis,5.0
126,visual,5.0
126,metrics,5.0
126,extract,5.0
126,transform,5.0
126,query,5.0
126,trends,5.0
127,analyze,4.69
127,report,4.69
127,dashboards,4.69
127,trends,4.69
127,insights,4.69
127,decision-making,4.69
127,present,4.69
127,interpret,4.69
127,analysis,4.69
127,trends,4.69
128,report,5.62
128,trends,5.62
128,insights,5.62
128,monitor,5.62
128,track,5.62
128,analysis,5.62
128,trends,5.62
129,report,
129,analysis,
129,visual,
129,communicate,
130,analyze,7.68
130,report,7.68
130,dashboards,7.68
130,insights,7.68
130,collaborate,7.68
130,clean,7.68
130,KPI,7.68
130,interpret,7.68
130,datasets,7.68
130,analysis,7.68
130,visual,7.68
130,transform,7.68
130,load,7.68
130,document,7.68
131,report,7.5
131,dashboards,7.5
131,trends,7.5
131,insights,7.5
131,decision-making,7.5
131,collaborate,7.5
131,monitor,7.5
131,track,7.5
131,KPI,7.5
131,accuracy,7.5
131,analysis,7.5
131,visual,7.5
131,stakeholders,7.5
131,extract,7.5
131,trends,7.5
132,analyze,6.56
132,report,6.56
132,dashboards,6.56
132,trends,6.56
132,insights,6.56
132,collaborate,6.56
132,monitor,6.56
132,track,6.56
132,KPI,6.56
132,interpret,6.56
132,analysis,6.56
132,metrics,6.56
132,trends,6.56
133,clean,5.0
134,organize,10.0
134,accuracy,10.0
134,load,10.0
135,report,15.62
135,track,15.62
136,analyze,6.25
136,report,6.25
136,dashboards,6.25
136,insights,6.25
136,collaborate,6.25
136,clean,6.25
136,monitor,6.25
136,findings,6.25
136,track,6.25
136,KPI,6.25
136,automate,6.25
136,accuracy,6.25
136,datasets,6.25
136,analysis,6.25
136,visual,6.25
136,communicate,6.25
136,validation,6.25
136,stakeholders,6.25
136,extract,6.25
136,transform,6.25
136,load,6.25
137,analysis,8.5
138,report,5.0
138,trends,5.0
138,insights,5.0
138,collaborate,5.0
138,organize,5.0
138,interpret,5.0
138,metrics,5.0
138,trends,5.0
139,analyze,
139,report,
139,dashboards,
139,trends,
139,insights,
139,clean,
139,present,
139,track,
139,interpret,
139,accuracy,
139,analysis,
139,visual,
139,metrics,
139,stakeholders,
139,trends,
140,collaborate,7.5
140,interpret,7.5
140,analysis,7.5
140,visual,7.5
140,metrics,7.5
140,extract,7.5
140,transform,7.5
141,analyze,4.39
141,report,4.39
141,dashboards,4.39
141,insights,4.39
141,decision-making,4.39
141,collaborate,4.39
141,clean,4.39
141,present,4.39
141,findings,4.39
141,track,4.39
141,KPI,4.39
141,build,4.39
141,automate,4.39
141,accuracy,4.39
141,datasets,4.39
141,solve,4.39
141,metrics,4.39
141,forecast,4.39
142,analyze,35.0
142,report,35.0
142,dashboards,35.0
142,trends,35.0
142,insights,35.0
142,collaborate,35.0
142,monitor,35.0
142,present,35.0
142,findings,35.0
142,track,35.0
142,KPI,35.0
142,accuracy,35.0
142,analysis,35.0
142,visual,35.0
142,communicate,35.0
142,metrics,35.0
142,stakeholders,35.0
142,trends,35.0
143,analyze,3.75
143,report,3.75
143,dashboards,3.75
143,organize,3.75
143,track,3.75
143,KPI,3.75
143,build,3.75
143,analysis,3.75
144,analyze,3.12
144,report,3.12
144,insights,3.12
144,clean,3.12
144,organize,3.12
144,present,3.12
144,track,3.12
144,build,3.12
144,analysis,3.12
144,visual,3.12
144,communicate,3.12
145,analyze,3.12
145,report,3.12
145,present,3.12
145,track,3.12
145,KPI,3.12
146,analyze,
146,report,
146,dashboards,
146,trends,
146,insights,
146,collaborate,
146,present,
146,findings,
146,interpret,
146,automate,
146,accuracy,
146,datasets,
146,analysis,
146,visual,
146,solve,
146,communicate,
146,metrics,
146,stakeholders,
146,trends,
147,report,6.25
147,track,6.25
147,analysis,6.25
147,communicate,6.25
148,,10.41
149,analyze,
149,report,
149,dashboards,
149,insights,
149,decision-making,
149,collaborate,
149,monitor,
149,track,
149,analysis,
149,visual,
149,solve,
149,communicate,
149,validation,
149,query,
150,analyze,10.41
150,report,10.41
150,trends,10.41
150,insights,10.41
150,collaborate,10.41
150,findings,10.41
150,interpret,10.41
150,visual,10.41
150,communicate,10.41
150,metrics,10.41
150,stakeholders,10.41
150,trends,10.41
151,analyze,1.88
151,report,1.88
151,dashboards,1.88
151,insights,1.88
151,decision-making,1.88
151,collaborate,1.88
151,monitor,1.88
151,track,1.88
151,analysis,1.88
151,visual,1.88
151,solve,1.88
151,communicate,1.88
151,validation,1.88
151,query,1.88
152,analyze,14.0
152,report,14.0
152,dashboards,14.0
152,trends,14.0
152,insights,14.0
152,collaborate,14.0
152,track,14.0
152,build,14.0
152,document,14.0
152,trends,14.0
153,analyze,4.0
153,report,4.0
153,trends,4.0
153,insights,4.0
153,decision-making,4.0
153,organize,4.0
153,monitor,4.0
153,track,4.0
153,KPI,4.0
153,accuracy,4.0
153,analysis,4.0
153,metrics,4.0
153,document,4.0
153,trends,4.0
154,visual,10.0
155,analyze,
155,trends,
155,collaborate,
155,track,
155,analysis,
155,trends,
156,report,125.0
156,dashboards,125.0
156,trends,125.0
156,insights,125.0
156,collaborate,125.0
156,monitor,125.0
156,track,125.0
156,interpret,125.0
156,analysis,125.0
156,visual,125.0
156,communicate,125.0
156,metrics,125.0
156,stakeholders,125.0
156,trends,125.0
157,analyze,5.0
157,report,5.0
157,dashboards,5.0
157,trends,5.0
157,insights,5.0
157,decision-making,5.0
157,build,5.0
157,accuracy,5.0
157,visual,5.0
157,communicate,5.0
157,metrics,5.0
157,transform,5.0
157,trends,5.0
158,insights,9.0
158,monitor,9.0
158,analysis,9.0
158,visual,9.0
158,transform,9.0
159,insights,7.0
159,monitor,7.0
159,datasets,7.0
159,visual,7.0
159,transform,7.0
160,analyze,
160,report,
160,trends,
160,track,
160,build,
160,visual,
160,communicate,
160,metrics,
160,stakeholders,
160,trends,
161,monitor,10.0
161,track,10.0
161,interpret,10.0
161,communicate,10.0
161,load,10.0
161,document,10.0
162,analyze,
162,insights,
162,build,
162,visual,
162,metrics,
162,extract,
163,analysis,4.11
163,visual,4.11
163,solve,4.11
164,analyze,3.75
164,report,3.75
164,dashboards,3.75
164,trends,3.75
164,insights,3.75
164,collaborate,3.75
164,present,3.75
164,track,3.75
164,build,3.75
164,interpret,3.75
164,automate,3.75
164,analysis,3.75
164,visual,3.75
164,document,3.75
164,trends,3.75
165,analyze,6.88
165,report,6.88
165,trends,6.88
165,insights,6.88
165,collaborate,6.88
165,track,6.88
165,KPI,6.88
165,interpret,6.88
165,automate,6.88
165,analysis,6.88
165,metrics,6.88
165,trends,6.88
166,report,4.38
166,trends,4.38
166,insights,4.38
166,decision-making,4.38
166,clean,4.38
166,findings,4.38
166,build,4.38
166,interpret,4.38
166,accuracy,4.38
166,analysis,4.38
166,visual,4.38
166,metrics,4.38
166,transform,4.38
166,query,4.38
166,trends,4.38
167,analyze,3.12
167,report,3.12
167,dashboards,3.12
167,trends,3.12
167,insights,3.12
167,collaborate,3.12
167,clean,3.12
167,organize,3.12
167,monitor,3.12
167,KPI,3.12
167,interpret,3.12
167,accuracy,3.12
167,analysis,3.12
167,visual,3.12
167,trends,3.12
